theme,url,img,lines,author
COURAGE,/inspirational-quotes/8251-courage-doesn-t-mean-you-don-t-get-afraid,https://assets.passiton.com/quotes/quote_artwork/8251/medium/20210818_wednesday_quote.jpg?1628879189,Courage doesn’t mean you don’t get afraid. Courage means you don’t let fear stop you. ,<Author:0x00007f528cc3bed8>
COURAGE,/inspirational-quotes/7299-life-shrinks-or-expands-in-proportion-to-ones,https://assets.passiton.com/quotes/quote_artwork/7299/medium/20210817_tuesday_quote.jpg?1628879166,Life shrinks or expands in proportion to one's courage.,<Author:0x00007f528cc73950>
COURAGE,/inspirational-quotes/8250-in-one-of-its-earliest-forms-the-word-courage,https://assets.passiton.com/quotes/quote_artwork/8250/medium/20210816_monday_quote.jpg?1628879133,"In one of its earliest forms, the word courage meant ‘To speak one’s mind by telling all one’s heart.'",<Author:0x00007f528dac7d80>
PERSEVERANCE,/inspirational-quotes/8249-some-people-want-it-to-happen-some-wish-it,https://assets.passiton.com/quotes/quote_artwork/8249/medium/20210813_friday_quote.jpg?1628114247,"Some people want it to happen, some wish it would happen, others make it happen.",<Author:0x00007f528daec540>
PERSEVERANCE,/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going,https://assets.passiton.com/quotes/quote_artwork/4076/medium/20210812_thursday_quote.jpg?1628114208,There are no shortcuts to any place worth going.,<Author:0x00007f528dab18f0>
PERSEVERANCE,/inspirational-quotes/8248-the-only-failure-is-quitting-everything-else,https://assets.passiton.com/quotes/quote_artwork/8248/medium/20210811_wednesday_quote.jpg?1628114184,The only failure is quitting. Everything else is just gathering information.,<Author:0x00007f528da45cb8>
PERSEVERANCE,/inspirational-quotes/2210-theres-only-one-way-to-succeed-in-anything-and,https://assets.passiton.com/quotes/quote_artwork/2210/medium/20210810_tuesday_quote.jpg?1628114164,"There's only one way to succeed in anything, and that is to give it everything.",<Author:0x00007f528dbe3250>
PERSEVERANCE,/inspirational-quotes/5831-in-the-confrontation-between-the-stream-and-the,https://assets.passiton.com/quotes/quote_artwork/5831/medium/20210809_monday_quote.jpg?1628114140,"In the confrontation between the stream and the rock, the stream always wins- not through strength but by perseverance.",<Author:0x00007f528dad43c8>
LAUGHTER,/inspirational-quotes/7783-a-good-laugh-heals-a-lot-of-hurts,https://assets.passiton.com/quotes/quote_artwork/7783/medium/20210806_friday_quote.jpg?1627091944,A good laugh heals a lot of hurts.,<Author:0x00007f528dbef780>
LAUGHTER,/inspirational-quotes/8247-laughter-lightens-the-soul,https://assets.passiton.com/quotes/quote_artwork/8247/medium/20210805_thursday_quote.jpg?1627091911,Laughter lightens the soul.,<Author:0x00007f528da2f0d0>
LAUGHTER,/inspirational-quotes/8246-laughter-lets-me-relax-it-s-the-equivalent-of,https://assets.passiton.com/quotes/quote_artwork/8246/medium/20210804_wednesday_quote.jpg?1627091888,"Laughter lets me relax. It’s the equivalent of taking a deep breath, letting it out and saying, ‘This, too, will pass.’",<Author:0x00007f528db2d040>
LAUGHTER,/inspirational-quotes/5063-i-have-seen-what-a-laugh-can-do-it-can,https://assets.passiton.com/quotes/quote_artwork/5063/medium/20210803_tuesday_quote.jpg?1627091864,"I have seen what a laugh can do. It can transform almost unbearable tears into something bearable, even hopeful. ",<Author:0x00007f528df33dd8>
LAUGHTER,/inspirational-quotes/8245-laughter-is-proof-of-hope,https://assets.passiton.com/quotes/quote_artwork/8245/medium/20210802_monday_quote.jpg?1627091833,Laughter is proof of hope.,<Author:0x00007f528df3d3b0>
APPRECIATION,/inspirational-quotes/6378-now-is-no-time-to-think-of-what-you-do-not,https://assets.passiton.com/quotes/quote_artwork/6378/medium/20210730_friday_quote.jpg?1626105610,Now is no time to think of what you do not have. Think of what you can do with what there is. ,<Author:0x00007f528df4d210>
APPRECIATION,/inspirational-quotes/8244-the-mind-is-like-a-flower-it-does-not-bloom,https://assets.passiton.com/quotes/quote_artwork/8244/medium/20210729_thursday_quote.jpg?1626105565,"The mind is like a flower. It does not bloom without the lights of appreciation, encouragement, and love.",<Author:0x00007f528df5c440>
APPRECIATION,/inspirational-quotes/6601-enjoy-the-little-things-in-life-for-one-day,https://assets.passiton.com/quotes/quote_artwork/6601/medium/20210728_wednesday_quote.jpg?1626105510,"Enjoy the little things in life, for one day you may look back and realize they were the big things.",<Author:0x00007f528df71138>
APPRECIATION,/inspirational-quotes/4224-we-can-only-be-said-to-be-alive-in-those,https://assets.passiton.com/quotes/quote_artwork/4224/medium/20210727_tuesday_quote.jpg?1626105360,We can only be said to be alive in those moments when our hearts are conscious of our treasures.,<Author:0x00007f528df87370>
APPRECIATION,/inspirational-quotes/3072-the-best-way-to-pay-for-a-lovely-moment-is-to,https://assets.passiton.com/quotes/quote_artwork/3072/medium/20210726_monday_quote.jpg?1626105332,The best way to pay for a lovely moment is to enjoy it.,<Author:0x00007f528df90830>
MOTIVATION,/inspirational-quotes/6165-we-should-cultivate-the-ability-to-say-no-to,https://assets.passiton.com/quotes/quote_artwork/6165/medium/20210723_friday_quote_alt.jpg?1625869267,"We should cultivate the ability to say no to activities for which we have no interest or real concern. If we learn to say no to many things, then we will be able to say yes to the things that matter most. ",<Author:0x00007f528dfa1c70>
MOTIVATION,/inspirational-quotes/3562-the-vision-must-be-followed-by-the-venture-it,https://assets.passiton.com/quotes/quote_artwork/3562/medium/20210722_thursday_quote.jpg?1625868835,The vision must be followed by the venture. It is not enough to stare up the steps - we must step up the stairs.,<Author:0x00007f528dfb3010>
MOTIVATION,/inspirational-quotes/8243-dont-stop-until-youre-proud,https://assets.passiton.com/quotes/quote_artwork/8243/medium/20210721_wednesday_quote.jpg?1625868812,Don't stop until you're proud.,<Author:0x00007f528dfc03c8>
MOTIVATION,/inspirational-quotes/5996-good-better-best-never-let-it-rest-until,https://assets.passiton.com/quotes/quote_artwork/5996/medium/20210720_tuesday_quote.jpg?1625868786,"Good, better, best. Never let it rest. Until your good is better and your better is best.",<Author:0x00007f528dfd7e10>
MOTIVATION,/inspirational-quotes/6889-when-you-look-for-things-in-life-like-love,https://assets.passiton.com/quotes/quote_artwork/6889/medium/20210719_monday_quote.jpg?1625868751,"When you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation.",<Author:0x00007f528dfea740>
RESILIENCY,/inspirational-quotes/8242-it-s-your-reaction-to-adversity-not-adversity,https://assets.passiton.com/quotes/quote_artwork/8242/medium/20210716_friday_quote.jpg?1625591369,"It’s your reaction to adversity, not adversity itself that determines how your life’s story will develop.",<Author:0x00007f528dfff780>
RESILIENCY,/inspirational-quotes/6595-rock-bottom-became-the-solid-foundation-on,https://assets.passiton.com/quotes/quote_artwork/6595/medium/20210715_thursday_quote.jpg?1625591341,Rock bottom became the solid foundation on which I rebuilt my life.,<Author:0x00007f528e00ce80>
RESILIENCY,/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is,https://assets.passiton.com/quotes/quote_artwork/7409/medium/20210714_wednesday_quote.jpg?1625591319,"Sometimes, carrying on, just carrying on, is the superhuman achievement.",<Author:0x00007f528e023a18>
RESILIENCY,/inspirational-quotes/4292-we-will-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/4292/medium/20210713_tuesday_quote.jpg?1625591293,"We will either find a way, or make one.",<Author:0x00007f528e032ae0>
RESILIENCY,/inspirational-quotes/8241-persistence-and-resilience-only-come-from,https://assets.passiton.com/quotes/quote_artwork/8241/medium/20210712_monday_quote.jpg?1625591224,Persistence and resilience only come from having been given the chance to work though difficult problems.,<Author:0x00007f528e043548>
HARD WORK,/inspirational-quotes/6243-striving-for-success-without-hard-work-is-like,https://assets.passiton.com/quotes/quote_artwork/6243/medium/20210709_friday_quote.jpg?1625499004,Striving for success without hard work is like trying to harvest where you haven't planted.,<Author:0x00007f528e04c9b8>
HARD WORK,/inspirational-quotes/8240-work-hard-and-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/8240/medium/20210708_thursday_quote.jpg?1625498944,Work hard and be kind and amazing things will happen.,<Author:0x00007f528e065058>
HARD WORK,/inspirational-quotes/8239-if-you-go-to-work-on-your-goals-your-goals,https://assets.passiton.com/quotes/quote_artwork/8239/medium/20210707_wednesday_quote.jpg?1625498926,"If you go to work on your goals, your goals will go to work on you. If you go to work on your plan, your plan will go to work on you. Whatever good things we build end up building us.",<Author:0x00007f528e07b948>
HARD WORK,/inspirational-quotes/8238-the-fruit-of-your-own-hard-work-is-the-sweetest,https://assets.passiton.com/quotes/quote_artwork/8238/medium/20210706_tuesday_quote.jpg?1625498905,The fruit of your own hard work is the sweetest.,<Author:0x00007f528e08aa88>
